dt_code,dtname,stname,st_code,year,Zone,,,
224,Bhagalpur,BIHAR,10,2011_c,Orange Zone,,,Kachchh
231,Bhojpur,BIHAR,10,2011_c,Orange Zone,,,Kheda
232,Buxar,BIHAR,10,2011_c,Red Zone,,,Valsad
215,Darbhanga,BIHAR,10,2011_c,Orange Zone,,,Dohad
236,Gaya,BIHAR,10,2011_c,Red Zone,,,Gir Somnath
217,Gopalganj,BIHAR,10,2011_c,Orange Zone,,,Porbandar
238,Jamui,BIHAR,10,2011_c,Green Zone,,,Sabar Kantha
239,Jehanabad,BIHAR,10,2011_c,Orange Zone,,,Jamnagar
233,Kaimur (bhabua),BIHAR,10,2011_c,Orange Zone,,,Morbi
212,Katihar,BIHAR,10,2011_c,Green Zone,,,Navsari
223,Khagaria,BIHAR,10,2011_c,Green Zone,,,Tapi
210,Kishanganj,BIHAR,10,2011_c,Green Zone,,,The Dangs
227,Lakhisarai,BIHAR,10,2011_c,Orange Zone,,,Gurugram
213,Madhepura,BIHAR,10,2011_c,Orange Zone,,,Nuh
207,Madhubani,BIHAR,10,2011_c,Orange Zone,,,Faridabad
226,Munger,BIHAR,10,2011_c,Red Zone,,,Palwal
216,Muzaffarpur,BIHAR,10,2011_c,Green Zone,,,Panchkula
229,Nalanda,BIHAR,10,2011_c,Orange Zone,,,Sonipat
237,Nawada,BIHAR,10,2011_c,Orange Zone,,,Ambala
203,Pashchim Champaran,BIHAR,10,2011_c,Green Zone,,,Panipat
230,Patna,BIHAR,10,2011_c,Red Zone,,,Karnal
204,Purba Champaran,BIHAR,10,2011_c,Orange Zone,,,Rohtak
211,Purnia,BIHAR,10,2011_c,Orange Zone,,,Sirsa
234,Rohtas,BIHAR,10,2011_c,Red Zone,,,Bhiwani
214,Saharsa,BIHAR,10,2011_c,Green Zone,,,Yamunanagar
221,Samastipur,BIHAR,10,2011_c,Green Zone,,,Hisar
219,Saran,BIHAR,10,2011_c,Orange Zone,,,Jind
228,Sheikhpura,BIHAR,10,2011_c,Green Zone,,,Kaithal
205,Sheohar,BIHAR,10,2011_c,Green Zone,,,Kurukshetra
206,Sitamarhi,BIHAR,10,2011_c,Green Zone,,,Charki Dadri
218,Siwan,BIHAR,10,2011_c,Orange Zone,,,Fatehabad
208,Supaul,BIHAR,10,2011_c,Green Zone,,,Una
220,Vaishali,BIHAR,10,2011_c,Orange Zone,,,Solan
55,Chandigarh,CHANDIGARH,4,2011_c,Red Zone,,,Chamba
719,Balod,CHHATTISGARH,22,update2014,Green Zone,,,Kangra
721,Baloda Bazar,CHHATTISGARH,22,update2014,Green Zone,,,Hamirpur
716,Balrampur,CHHATTISGARH,22,2011_c,Green Zone,,,Sirmaur
718,Bametara,CHHATTISGARH,22,update2014,Green Zone,,,Bandipore
414,Bastar,CHHATTISGARH,22,2011_c,Green Zone,,,Srinagar
417,Bijapur,CHHATTISGARH,22,2011_c,Green Zone,,,Shupiyan
406,Bilaspur,CHHATTISGARH,22,2011_c,Green Zone,,,Baramula
416,Dakshin Bastar Dantewada,CHHATTISGARH,22,2011_c,Green Zone,,,Kupwara
412,Dhamtari,CHHATTISGARH,22,2011_c,Green Zone,,,Jammu
409,Durg,CHHATTISGARH,22,2011_c,Green Zone,,,Udhampur
720,Gariaband,CHHATTISGARH,22,update2014,Green Zone,,,Anantnag
405,Janjgir - Champa,CHHATTISGARH,22,2011_c,Green Zone,,,Badgam
402,Jashpur,CHHATTISGARH,22,2011_c,Green Zone,,,Ganderbal
407,Kabeerdham,CHHATTISGARH,22,2011_c,Green Zone,,,Kulgam
722,Kondagaon,CHHATTISGARH,22,update2014,Green Zone,,,Rajouri
404,Korba,CHHATTISGARH,22,2011_c,Green Zone,,,Samba
400,Koriya,CHHATTISGARH,22,2011_c,Orange Zone,,,Pulwama
411,Mahasamund,CHHATTISGARH,22,2011_c,Green Zone,,,Kathua
717,Mungeli,CHHATTISGARH,22,update2014,Green Zone,,,Kishtwar
415,Narayanpur,CHHATTISGARH,22,2011_c,Green Zone,,,Ramban
403,Raigarh,CHHATTISGARH,22,2011_c,Green Zone,,,Ranchi
410,Raipur,CHHATTISGARH,22,2011_c,Green Zone,,,Bokaro
408,Rajnandgaon,CHHATTISGARH,22,2011_c,Red Zone,,,Hazaribagh
723,Sukma,CHHATTISGARH,22,update2014,Green Zone,,,Deoghar
715,Surajpur,CHHATTISGARH,22,update2014,Green Zone,,,Dhanbad
401,Surguja,CHHATTISGARH,22,2011_c,Green Zone,,,Simdega
413,Uttar Bastar Kanker,CHHATTISGARH,22,2011_c,Green Zone,,,Garhwa
496,Dadra & Nagar Haveli,DADRA & NAGAR HAVE,26,2011_c,Green Zone,,,Giridih
495,Daman,DAMAN & DIU,25,2011_c,Green Zone,,,Kodarma
494,Diu,DAMAN & DIU,25,2011_c,Green Zone,,,Bengaluru
95,Central Delhi,DELHI,7,2011_c,Red Zone,,,Mysuru
93,East Delhi,DELHI,7,2011_c,Red Zone,,,Belagavi
94,New Delhi,DELHI,7,2011_c,Red Zone,,,Vijayapura
91,North Delhi,DELHI,7,2011_c,Red Zone,,,Kalaburagi
